,證券代號,證券名稱
955,6141,柏承
956,6142,友勁
957,6152,百一
958,6153,嘉聯益
959,6155,鈞寶
960,6164,華興
961,6165,浪凡
962,6166,凌華
963,6168,宏齊
964,6176,瑞儀
965,6177,達麗
966,6183,關貿
967,6184,大豐電
968,6189,豐藝
969,6191,精成科
970,6192,巨路
971,6196,帆宣
972,6197,佳必琪
973,6201,亞弘電
974,6202,盛群
975,6205,詮欣
976,6206,飛捷
977,6209,今國光
978,6213,聯茂
979,6214,精誠
980,6215,和椿
981,6216,居易
982,6224,聚鼎
983,6225,天瀚
984,6226,光鼎
985,6230,尼得科超眾
986,6235,華孚
987,6239,力成
988,6243,迅杰
989,6251,定穎
990,6257,矽格
991,6269,台郡
992,6271,同欣電
993,6277,宏正
994,6278,台表科
995,6281,全國電
996,6282,康舒
997,6283,淳安
998,6285,啟碁
999,6288,聯嘉
1000,6289,華上
1001,6405,悅城
1002,6409,旭隼
1003,6412,群電
1004,6414,樺漢
1005,6415,矽力*-KY
1006,6416,瑞祺電通
1007,6426,統新
1008,6431,光麗-KY
1009,6438,迅得
1010,6442,光聖
1011,6443,元晶
1012,6449,鈺邦
1013,6451,訊芯-KY
1014,6456,GIS-KY
1015,6464,台數科
1016,6477,安集
1017,6491,晶碩
1018,6504,南六
1019,6505,台塑化
1020,6515,穎崴
1021,6525,捷敏-KY
1022,6531,愛普*
1023,6533,晶心科
1024,6541,泰福-KY
1025,6550,北極星藥業-KY
1026,6552,易華電
1027,6558,興能高
1028,6573,虹揚-KY
1029,6579,研揚
1030,6581,鋼聯
1031,6582,申豐
1032,6585,鼎基
1033,6591,動力-KY
1034,6592,和潤企業
1035,6598,ABC-KY
1036,6605,帝寶
1037,6625,必應
1038,6641,基士德-KY
1039,6655,科定
1040,6666,羅麗芬-KY
1041,6668,中揚光
1042,6669,緯穎
1043,6670,復盛應用
1044,6671,三能-KY
1045,6672,騰輝電子-KY
1046,6674,鋐寶科技
1047,6691,洋基工程
1048,6698,旭暉應材
1049,6706,惠特
1050,6715,嘉基
1051,6719,力智
1052,6743,安普新
1053,6754,匯僑設計
1054,6756,威鋒電子
1055,6768,志強-KY
1056,6770,力積電
1057,6776,展碁國際
1058,6781,AES-KY
1059,6789,采鈺
1060,6790,永豐實
1061,6792,詠業
1062,6796,晉弘
1063,6799,來頡
1064,6806,森崴能源
1065,6807,峰源-KY
1066,8011,台通
1067,8016,矽創
1068,8021,尖點
1069,8028,昇陽半導體
1070,8033,雷虎
1071,8039,台虹
1072,8046,南電
1073,8070,長華*
1074,8072,陞泰
1075,8081,致新
1076,8101,華冠
1077,8103,瀚荃
1078,8104,錸寶
1079,8105,凌巨
1080,8110,華東
1081,8112,至上
1082,8112A,至上甲特
1083,8114,振樺電
1084,8131,福懋科
1085,8150,南茂
1086,8163,達方
1087,8201,無敵
1088,8210,勤誠
1089,8213,志超
1090,8215,明基材
1091,8222,寶一
1092,8249,菱光
1093,8261,富鼎
1094,8271,宇瞻
